,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
36296,0.148,1987,0.985,['Gerry Mulligan'],0.361,292227,0.0264,0,7jGGHvY9NqG8uSgnbqNF82,0.823,7,0.0667,-25.102,1,Night Lights,2,1987-01-01,0.0446,56.3
103837,0.921,2001,0.13,['Brewer & Shipley'],0.586,199173,0.871,0,4tMBeRRtM16o957kB45t26,0.0,0,0.106,-6.867000000000001,1,One Toke Over the Line,2,2001,0.0341,77.594
88224,0.157,1928,0.992,"['Frédéric Chopin', 'Vladimir Horowitz']",0.282,310840,0.0141,0,41Io6Ra6pOtih9XD9eHOSE,0.887,5,0.0483,-27.781,0,"Nocturne in F Minor, Op. 55, No. 1",0,1928,0.0427,91.438
86763,0.799,1997,0.000307,['Green Day'],0.5660000000000001,165013,0.863,0,49NGNNggN0R8OmsedNGY0g,0.00376,0,0.274,-3.415,1,Walking Alone,2,1997-10-14,0.0302,112.888
120248,0.366,1970,0.921,['Harry Nilsson'],0.45,171427,0.21,0,58ODgCsaP9KOHdiRciEInO,1.85e-05,9,0.0756,-15.201,1,Vine Street,1,1970-02-01,0.0416,121.976
19829,0.0907,2015,0.244,['Amber Run'],0.357,257907,0.434,0,4B4kunXhV2ZKnYcvDgAFoE,0.00654,0,0.0808,-11.521,1,5AM,3,2015-04-20,0.0418,145.743
103131,0.552,1960,0.495,['John Coltrane'],0.546,350267,0.344,0,44QlUFzlTrH0UkQP6E56ih,8.57e-06,8,0.114,-15.479,1,Cousin Mary - Alternate Take,1,1960,0.0597,106.528
80938,0.5429999999999999,1972,0.255,['Roy Buchanan'],0.5760000000000001,306000,0.327,0,1bpVZUSTlNXqelXHrN1mwI,0.77,7,0.409,-15.424,1,John's Blues,1,1972-08-01,0.0461,83.367
139495,0.6659999999999999,1966,0.586,"[""Herman's Hermits""]",0.622,173653,0.644,0,3mHv5hJCuFTvz3nomrFRJz,0.0,3,0.0594,-7.484,1,Just A Little Bit Better,1,1966-01-01,0.0367,139.166
153534,0.128,1940,0.977,['Nilla Pizzi'],0.22,162429,0.0872,0,3AmVlJJgSz28VdRXCGTrlX,0.00513,3,0.165,-17.201,1,Senza catene,0,1940-07-04,0.0448,172.989
75174,0.306,2008,0.481,['Nitty Gritty Dirt Band'],0.534,234613,0.536,0,06uiDyZsrwnZ0o0q1Y8Ax2,4.18e-06,6,0.225,-6.9570000000000025,1,Mr. Bojangles,2,2008-01-01,0.0276,143.731
57525,0.0513,1949,0.957,"['Benjamin Britten', 'London Symphony Orchestra', 'Andrew Davis']",0.247,1034493,0.101,0,2NKg8uYgbctnnzCpF2LWz3,0.865,0,0.101,-21.217,1,"Variations On A Theme Of Purcell, Op. 34 (From ""'The Young Persons Guide To The Orchestra"")",0,1949,0.0446,96.742
59957,0.6559999999999999,1939,0.965,"['Niccolò Paganini', 'Michael Rabin']",0.736,176427,0.118,0,60i0AZMTuvC4HowQEU0eyO,0.8440000000000001,6,0.0836,-17.715999999999994,0,"Caprice No. 9, from Op. 1",0,1939,0.194,87.721
46536,0.74,1946,0.943,"['Francisco Canaro', 'Alberto Arenas']",0.616,162800,0.502,0,5nMDbxzJhuFj0wcCLvFdjS,0.847,7,0.362,-8.833,1,Para Que Lo Oigan - Remasterizado,0,1946-03-13,0.0537,106.927
63577,0.583,2017,0.225,['Pierce The Veil'],0.688,206973,0.63,0,5EbsXX8qzNSnD88ulWSXGW,0.0,2,0.135,-5.726,0,Today I Saw The Whole World - Acoustic Version,3,2017-10-06,0.0318,141.02100000000004
63193,0.184,1961,0.918,['John Coltrane'],0.496,833640,0.317,0,0LCQrgmNpVynxoqGI1ZQSh,0.5760000000000001,1,0.115,-8.12,1,Lush Life - Rudy Van Gelder Remaster,0,1961,0.0315,107.036
